koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
3.98864999,3.516,94.2,12.4,1.15,5692.0,1.188,CANDIDATE
25.1123362,7.922,398.8,11.8,2.22,6133.0,1.112,CANDIDATE
2.121023807,0.3673,263.9,6.4,5.75,6133.0,1.112,CANDIDATE
33.18089453,15.24,,,,,,CANDIDATE
3.55557922,3.24,60.4,15.5,0.84,5839.0,1.082,CANDIDATE
8.28157072,3.1,139.2,12.9,1.37,5640.0,1.175,CANDIDATE
0.82628442,0.9603,134.9,25.6,0.96,5218.0,0.829,CANDIDATE
6.37705295,1.949,502.8,17.9,2.15,5672.0,0.965,CANDIDATE
2.27050106,1.903,106.7,15.9,0.55,4671.0,0.528,CANDIDATE
18.55581565,5.372,565.9,33.2,20.83,5988.0,8.841,CANDIDATE
13.33094869,1.426,725.6,17.1,25.95,5991.0,1.039,CANDIDATE
21.47642727,5.5498,348130.0,124.8,59.5,5780.0,1.0,CANDIDATE
7.10397925,1.5398,370.5,16.8,1.51,5488.0,0.789,CANDIDATE
6.77367892,3.579,150.7,15.1,1.33,6392.0,1.072,CANDIDATE
5.22402436,2.608,48.1,15.1,0.58,5487.0,0.84,CANDIDATE
15.92108138,1.5443,716.8,16.1,3.14,5595.0,0.82,CANDIDATE
2.81043228,3.874,47.4,17.8,1.43,5415.0,2.079,CANDIDATE
175.603366,9.543,506.8,14.7,2.87,6225.0,1.009,CANDIDATE
64.034363,9.174,758.8,16.9,3.47,5691.0,0.783,CANDIDATE
4.790912471,0.5134,360.7,17.6,2.25,4359.0,0.676,CANDIDATE
47.3659328,7.929,757.0,16.0,11.97,5708.0,0.902,CANDIDATE
29.2254372,5.293,174.1,15.7,1.35,6049.0,1.008,CANDIDATE
13.9034057,3.408,261.4,15.3,1.55,5261.0,0.819,CANDIDATE
53.3580444,6.812,736.1,19.7,3.41,5481.0,1.036,CANDIDATE
73.711039,10.062,136.7,21.1,1.77,6374.0,1.502,CANDIDATE
14.43348326,2.663,526.8,14.8,16.25,4915.0,0.702,CANDIDATE
6.35705314,1.324,272.2,17.3,1.59,5982.0,0.96,CANDIDATE
1.530515205,0.5945,659.7,23.2,0.84,3462.0,0.259,CANDIDATE
17.6997392,2.76,752.7,19.8,1.96,4807.0,0.742,CANDIDATE
0.754457729,0.5891,248.2,31.1,2.07,5561.0,1.193,CANDIDATE
62.6825769,2.327,398.9,17.8,39.8,7058.0,3.101,CANDIDATE
16.2707207,5.707,468.0,13.0,28.42,6117.0,1.244,CANDIDATE
5.42204257,2.952,79.1,10.7,1.39,6123.0,1.263,CANDIDATE
24.1073172,10.465,104.2,23.6,2.74,6585.0,2.517,CANDIDATE
51.5738653,2.784,900.7,13.2,2.41,5380.0,0.813,CANDIDATE
0.827151296,1.385,272.4,8.1,19.1,4452.0,11.895,CANDIDATE
11.6191707,1.819,700.4,18.5,2.21,5870.0,0.834,CANDIDATE
38.2292037,3.893,605.8,21.0,1.51,4544.0,0.598,CANDIDATE
176.845697,3.812,431.6,7.7,42.05,5592.0,0.797,CANDIDATE
18.0243482,3.575,441.2,17.3,1.98,5955.0,0.91,CANDIDATE
16.4793229,3.312,479.1,13.8,1.53,4908.0,0.716,CANDIDATE
2.10081629,2.8182,169.1,15.3,1.65,5815.0,0.918,CANDIDATE
3.67936863,3.47,85.9,18.1,0.92,5676.0,0.848,CANDIDATE
7.4464635,4.084,78.0,12.7,0.77,5676.0,0.848,CANDIDATE
2.252976718,1.7131,467.9,21.7,1.19,4039.0,0.559,CANDIDATE
16.6146221,2.706,361.2,10.6,1.49,5295.0,0.8,CANDIDATE
5.83892993,1.1066,237.4,15.3,1.19,5279.0,0.769,CANDIDATE
3.09756897,4.588,83.3,14.6,1.75,6329.0,1.885,CANDIDATE
205.385912,8.681,1248.7,24.3,2.11,4400.0,0.624,CANDIDATE
1.23935745,1.683,150.9,9.7,1.5,5370.0,0.966,CANDIDATE
1.407020118,1.3766,181.9,18.9,1.12,5022.0,0.849,CANDIDATE
24.4359956,6.254,496.6,17.1,2.31,6197.0,1.035,CANDIDATE
17.57704569,2.022,670.0,19.1,27.21,5653.0,0.901,CANDIDATE
1.400755743,1.0562,144.4,19.8,1.3,5487.0,1.072,CANDIDATE
1.28132831,0.9157,525.5,196.4,4.52,5918.0,1.596,CANDIDATE
119.0833042,2.558,2951.0,18.9,22.19,4412.0,0.623,CANDIDATE
27.8813154,6.346,209.2,15.5,1.54,6434.0,1.055,CANDIDATE
7.50790041,5.646,145.0,11.9,1.77,6408.0,1.337,CANDIDATE
110.3783828,12.211,489.8,108.9,3.02,6342.0,1.359,CANDIDATE
4.28886792,2.599,59.3,11.1,0.57,5374.0,0.721,CANDIDATE
24.5752524,2.258,1003.4,12.1,1.64,3678.0,0.512,CANDIDATE
10.1747037,5.179,52.4,11.8,1.04,5866.0,1.339,CANDIDATE
2.17291055,2.139,76.4,13.6,0.93,6164.0,1.045,CANDIDATE
7.35101287,2.757,115.9,12.8,1.42,5951.0,1.262,CANDIDATE
6.57159435,3.1044,65.7,30.7,1.26,6042.0,1.432,CANDIDATE
0.868122253,1.5471,231.3,23.2,1.65,6116.0,1.084,CANDIDATE
13.84301228,4.077,567.8,17.5,1.98,5745.0,0.837,CANDIDATE
5.1952021,2.1552,320.8,17.7,1.37,5044.0,0.738,CANDIDATE
31.6084371,3.675,331.6,16.2,1.89,6341.0,1.033,CANDIDATE
16.1558656,3.798,731.3,17.5,2.04,4504.0,0.53,CANDIDATE
3.375716723,1.5436,175.7,20.2,2.34,6310.0,1.282,CANDIDATE
75.8580035,5.382,1148.4,16.1,2.72,4474.0,0.614,CANDIDATE
10.16435076,6.017,37.7,18.4,1.99,6133.0,2.71,CANDIDATE
237.787237,10.509,1627.7,92.3,9.91,5185.0,1.853,CANDIDATE
0.698461304,0.7887,134.4,16.1,14.81,4676.0,12.558,CANDIDATE
110.7556272,6.819,8067.0,48.5,29.64,6525.0,2.668,CANDIDATE
14.4079035,2.524,3058.0,7.7,23.4,5440.0,0.728,CANDIDATE
7.0956395,3.465,108.1,10.5,1.2,5480.0,1.174,CANDIDATE
79.2450351,5.382,1347.3,14.4,3.33,5648.0,0.917,CANDIDATE
126.4451275,16.7151,3252.5,110.9,4.49,5613.0,0.795,CANDIDATE
5.77207177,2.605,328.5,13.2,1.54,5591.0,0.86,CANDIDATE
46.151253,5.346,649.0,17.1,2.08,5204.0,0.769,CANDIDATE
165.3447044,3.09,4899.0,48.0,6.98,5594.0,0.812,CANDIDATE
