period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,Name,StarID
6.998099523,2.0488,20285.0,588.66,125.22,853.0,5612.0,0.829,4.566,15.877,0,K00876.01,7270230
5.95489993,2.3892,1410.7,2.33,38.52,635.0,4261.0,0.633,4.641,15.019,1,K00877.01,7287995
12.03987488,2.7363,1250.6,2.18,15.06,502.0,4261.0,0.633,4.641,15.019,1,K00877.02,7287995
20.83762895,2.3734,439.0,1.42,7.24,418.0,4261.0,0.633,4.641,15.019,1,K00877.03,7287995
8.8111022,5.0683,401.1,63.66,904.92,1399.0,6200.0,2.404,3.8,12.759,0,K00121.01,3247396
23.58917143,5.073,1200.7,3.16,13.34,487.0,4919.0,0.721,4.566,15.316,1,K00878.01,7303253
6.481633073,3.784,298.5,2.54,406.25,1145.0,5945.0,1.302,4.213,12.365,1,K00123.01,5094751
10.37168928,3.035,1254.9,3.2,63.68,720.0,5121.0,0.888,4.457,15.193,1,K00892.01,7678434
3.96996298,1.1757,299.2,1.78,229.37,992.0,5121.0,0.888,4.457,15.193,1,K00892.02,7678434
4.40841331,5.012,549.4,2.66,398.0,1139.0,6007.0,0.961,4.457,15.662,1,K00893.01,7685981
7.9426176,6.703,1590.7,4.68,140.57,878.0,5811.0,0.926,4.521,15.26,0,K00894.01,7708215
226.8904775,7.558,3136.4,4.53,0.73,236.0,5067.0,0.75,4.585,15.859,1,K00881.02,7373451
1.956811408,2.1958,24905.0,21.58,357.16,1109.0,5209.0,0.603,4.657,15.533,0,K00882.01,7377033
9.439459486,2.8979,3036.1,4.16,52.32,686.0,5097.0,0.779,4.597,15.067,1,K00884.01,7434875
11.523067458,3.8757,507.3,3.13,174.81,927.0,5644.0,1.411,4.162,12.346,1,K00122.01,8349582
20.47748843,2.8364,1382.4,2.92,18.65,530.0,5097.0,0.779,4.597,15.067,1,K00884.02,7434875
3.336123113,1.9616,516.3,1.74,209.79,970.0,5097.0,0.779,4.597,15.067,1,K00884.03,7434875
8.01078456,2.312,1333.6,1.72,9.9,453.0,3713.0,0.47,4.779,15.847,1,K00886.01,7455287
12.07134205,4.3224,759.2,1.29,5.74,395.0,3713.0,0.47,4.779,15.847,1,K00886.02,7455287
20.99587872,2.6333,767.3,1.3,2.74,328.0,3713.0,0.47,4.779,15.847,1,K00886.03,7455287
7.41113177,2.5242,620.5,2.45,158.11,905.0,5849.0,0.919,4.517,15.031,1,K00887.01,7458762
1.000747038,0.9967,1823.5,4.14,1635.2,1620.0,5472.0,0.79,4.499,15.419,0,K00888.01,7552344
8.884922995,2.07004,16053.0,10.51,83.21,770.0,5332.0,0.843,4.5,15.264,1,K00889.01,757450
8.09888906,4.20241,6911.1,8.95,223.19,986.0,6214.0,1.076,4.442,15.261,1,K00890.01,7585481
10.00653012,5.344,936.1,3.52,139.21,876.0,6063.0,1.001,4.47,15.063,1,K00891.01,7663691
17.855221681,7.41287,9065.2,13.16,163.04,911.0,6823.0,1.367,4.308,11.353,1,K00012.01,5812701
5.007316661,4.2362,6932.3,6.96,234.28,998.0,5865.0,0.827,4.563,15.813,1,K00903.01,8039892
2.211116989,1.6485,724.2,1.85,177.19,931.0,4500.0,0.646,4.656,15.791,1,K00904.01,8150320
27.9541337,3.95,942.5,1.9,6.04,400.0,4500.0,0.646,4.656,15.791,1,K00904.02,8150320
12.69104387,3.7727,252.1,2.57,244.3,1008.0,5869.0,1.626,4.024,12.935,1,K00124.01,11086270
4.409409243,3.8636,12861.0,10.95,347.06,1101.0,5600.0,0.975,4.368,15.403,0,K00895.01,7767559
16.23947096,4.0374,2590.7,4.14,30.14,598.0,5191.0,0.837,4.564,15.258,1,K00896.01,7825899
6.308201629,2.9785,1328.5,2.96,106.44,819.0,5191.0,0.837,4.564,15.258,1,K00896.02,7825899
2.052349884,2.0778,14281.0,13.12,1183.18,1497.0,5855.0,1.08,4.393,15.257,1,K00897.01,7849854
9.7704486,2.4517,1897.8,2.23,10.59,460.0,3906.0,0.509,4.73,15.777,1,K00898.01,7870390
5.169804269,2.153,1037.4,1.66,24.75,569.0,3906.0,0.509,4.73,15.777,1,K00898.02,7870390
21.22261195,6.5093,366.0,2.48,83.56,771.0,5945.0,1.302,4.213,12.365,1,K00123.02,5094751
20.09017037,4.154,1432.1,2.25,4.05,362.0,3906.0,0.509,4.73,15.777,1,K00898.03,7870390
7.11373257,2.1764,807.6,1.16,8.01,429.0,3561.0,0.411,4.855,15.234,1,K00899.01,7907423
3.306551643,1.8177,509.2,0.91,22.19,554.0,3561.0,0.411,4.855,15.234,1,K00899.02,7907423
15.36845737,2.4714,756.1,1.11,2.86,332.0,3561.0,0.411,4.855,15.234,1,K00899.03,7907423
13.81020318,3.048,1309.7,4.56,113.75,833.0,5942.0,1.142,4.327,15.425,1,K00900.01,7938496
4.093578461,2.5833,538.6,2.85,461.07,1182.0,6077.0,0.999,4.471,15.399,1,K00911.01,8490993
105.145959,8.593,685.4,3.43,6.09,401.0,6077.0,0.999,4.471,15.399,1,K00911.02,8490993
10.8484518,2.9993,1675.6,2.34,14.66,499.0,4201.0,0.591,4.682,15.058,1,K00912.01,8505670
6.66833241,1.915,362.3,1.18,28.06,587.0,4201.0,0.591,4.682,15.058,1,K00912.02,8505670
4.082274889,3.23015,17859.0,10.55,251.48,1016.0,5655.0,0.794,4.581,15.198,1,K00913.01,8544996
42.1406089,5.083,895.5,1.85,3.49,349.0,4500.0,0.646,4.656,15.791,1,K00904.03,8150320
4.617490562,2.2618,575.8,1.62,66.47,728.0,4500.0,0.646,4.656,15.791,1,K00904.04,8150320
10.19849255,2.4283,634.1,1.75,23.11,559.0,4500.0,0.646,4.656,15.791,1,K00904.05,8150320
5.795063956,3.2496,1692.9,4.33,192.74,950.0,5865.0,0.827,4.563,15.289,0,K00905.01,8180063
7.15681552,2.5882,867.0,2.47,88.23,782.0,5029.0,0.838,4.494,15.46,1,K00906.01,8226994
17.64830851,2.0873,763.3,2.43,26.49,579.0,5029.0,0.838,4.494,15.46,1,K00906.02,8226994
4.14810719,2.535,175.2,1.08,182.76,938.0,5029.0,0.838,4.494,15.46,1,K00906.03,8226994
16.51410989,4.1575,973.5,2.72,43.57,655.0,5527.0,0.866,4.488,15.223,1,K00907.01,8247638
