period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
0.8352406,1.043,2065.0,6.4875,5021.63,2345.0,6105.0,1.24,4.31,10.402,0,1200.01,288185138
2.4919771,1.4338141,2093.9594201,2.2187585,39.6452664,639.9817426,3948.0,0.482388,4.68962,10.9473,1,1201.01,29960110
25.5195307,6.6877451,558.3758637,2.9641461,45.6335702,662.8890748,5742.22,1.17321,4.29,7.9995,1,1203.01,23434737
0.831542,1.985538,248.969585,1.881684,3776.6095365,1999.3796659,5824.0,1.1512,4.438,8.6014,0,1206.01,308034948
79.3739596,5.392,1227.0,2.17454,3.05331,368.0,5168.33,0.77,4.60584,11.1762,0,1210.01,33878688
27.2149622,3.7190483,4731.4046225,8.3475973,25.4860381,573.0537137,6270.0,0.989667,4.54537,10.6392,0,1213.01,399144800
5.0780325,1.2100353,5923.1283069,2.6347763,8.1743139,431.253644,3318.0,0.334125,4.9581,13.084,1,122.01,231702397
91.6827832,9.7504857,713.2183569,3.239855,5.9944903,399.0780255,5802.0,1.01814,4.44521,10.0564,1,1221.01,349095149
14.64319,2.5483426,242.7923919,3.41248,391.2017546,1134.2791474,6516.0,2.04178,3.99366,9.3109,0,1223.01,382437043
4.1782656,1.675904,2537.6781602,2.1023854,13.9295288,492.7241583,3442.0,0.404403,4.893,11.556,1,1224.01,299798795
17.9453645,3.0740072,5480.684864,3.3839124,1.9952383,303.1226876,3442.0,0.404403,4.893,11.556,1,1224.02,299798795
27.3613778,4.0586418,20690.6684294,6.4522449,0.8345555,243.7718547,3050.0,0.44128,4.438,13.802,1,1227.01,360156606
29.0497517,7.117,318.0,2.84674,257.066,1115.0,8208.0,1.8,4.25979,9.0963,1,1228.01,300038935
3.3088922,6.114,4736.0,24.9862,17074.7,3184.0,6188.0,2.62,4.27166,7.87598,1,123.01,290131778
25.0571312,7.5424225,533.486013,3.2396838,53.1389289,688.6094029,5696.0,1.15281,4.26563,9.6245,1,1230.01,287156968
24.2454967,3.3725583,6260.6703602,3.878568,0.05273,122.2177444,3535.0,0.465271,4.84874,10.2565,1,1231.01,447061717
14.1758947,3.7543827,907.1324529,2.6231641,53.8795095,690.9961983,5723.87,0.864173,4.438,8.6522,1,1233.01,260647166
19.5901578,4.002861,1182.6678641,3.0026428,35.0031418,620.3638839,5723.87,0.864173,4.438,8.6522,1,1233.02,260647166
6.2036219,3.01098,548.9044399,2.056748,162.1675094,910.1452592,5723.87,0.864173,4.438,8.6522,1,1233.03,260647166
3.79589,2.4602856,317.5272928,1.553135,312.1807495,1072.0653989,5723.87,0.864173,4.438,8.6522,1,1233.04,260647166
2.2645386,3.8193701,15019.9420903,5.1936764,34.1873897,616.7174475,3443.0,0.411471,4.81617,13.7991,0,1234.01,90504905
3.4447015,1.912,796.0,2.00495,231.437,1086.0,3912.0,0.63,4.62642,9.91924,1,1235.01,103633434
3.0300715,2.5466671,21794.6136956,12.7529892,318.4581858,1077.4145935,5242.82,0.857369,4.52404,11.0248,1,1236.01,120757718
12.72038,2.401,1070.0,4.96046,41.1042,705.0,6212.0,1.48,4.17664,10.2768,1,1237.01,120960812
